2016-03-13,MIL,"[27, 23, 28, 31]",BKN,"[25, 26, 28, 21]"
2016-01-01,NY,"[18, 32, 23, 8]",CHI,"[34, 22, 21, 31]"
2016-01-03,ATL,"[21, 24, 31, 21]",NY,"[22, 33, 31, 25]"
2016-01-05,NY,"[29, 25, 30, 23]",ATL,"[20, 29, 22, 30]"
2016-01-06,NY,"[22, 25, 24, 27]",MIA,"[21, 18, 20, 31]"
2016-01-08,NY,"[30, 19, 25, 25]",SA,"[26, 26, 27, 21]"
2016-01-10,MIL,"[24, 17, 19, 28]",NY,"[24, 27, 31, 18]"
2016-01-16,NY,"[31, 23, 19, 22]",MEM,"[28, 24, 21, 30]"
2016-01-18,PHI,"[29, 18, 16, 33]",NY,"[29, 23, 24, 20]"
2016-01-20,UTAH,"[22, 26, 28, 23]",NY,"[17, 20, 31, 31]"
2016-01-22,LAC,"[31, 24, 31, 30]",NY,"[24, 21, 19, 24]"
2016-01-23,NY,"[22, 21, 13, 28]",CHA,"[20, 25, 32, 20]"
2016-01-26,OKC,"[38, 23, 27, 25]",NY,"[34, 29, 28, 22]"
2016-01-28,NY,"[21, 22, 20, 30]",TOR,"[27, 26, 20, 30]"
2016-01-29,PHX,"[16, 24, 21, 23]",NY,"[26, 32, 27, 17]"
2016-01-31,GS,"[18, 37, 27, 34]",NY,"[20, 29, 16, 30]"
2016-02-04,NY,"[15, 21, 35, 34]",DET,"[27, 33, 18, 33]"
2016-02-05,MEM,"[24, 26, 19, 22]",NY,"[18, 22, 22, 23]"
2016-02-07,DEN,"[31, 29, 17, 24]",NY,"[20, 29, 30, 17]"
2016-02-09,WSH,"[35, 28, 20, 28]",NY,"[21, 29, 33, 25]"
2016-02-20,NY,"[31, 28, 22, 22]",MIN,"[16, 32, 13, 34]"
2016-02-22,TOR,"[26, 31, 29, 36]",NY,"[28, 15, 25, 27]"
2016-02-24,NY,"[26, 28, 26, 25]",IND,"[28, 24, 28, 28]"
2016-02-26,ORL,"[23, 21, 25, 26]",NY,"[32, 30, 20, 26]"
2016-02-28,MIA,"[23, 21, 25, 29]",NY,"[19, 20, 26, 16]"
2016-03-01,POR,"[27, 31, 27, 19]",NY,"[25, 25, 22, 13]"
